n_layers,n_latent,resolution,n_clusters,n_small_clusters,silhouette,calinski_harabasz,davies_bouldin,dn_im_mean,dn_im_max,pool_im_mean,pool_im_max,score
5,40,0.15,4,2,0.120037534362102,997.90263011093,1.56051659943702,0.21,0.699,0.159,0.456,-1.51011899407605
5,20,0.2,5,2,0.0955761618875095,1290.83033167812,1.89362693754391,0.17,0.714,0.133,0.48,-1.52624501528298
5,20,0.25,5,2,0.100724057480502,1278.44553589505,1.93727009336006,0.172,0.714,0.133,0.48,-1.52808067506075
2,10,0.1,3,1,0.131830609927683,1310.37703060968,1.80148476335302,0.236,0.7,0.153,0.458,-1.52979901487714
2,10,0.15,3,1,0.131635573146276,1315.41678478219,1.8422494733093,0.236,0.699,0.153,0.456,-1.53081853494554
5,20,0.15,4,2,0.110673833199732,918.50799532156,1.70244559510929,0.208,0.699,0.158,0.456,-1.53464532654512
5,40,0.1,3,1,0.116646532728857,1274.54809058746,1.81286050192319,0.236,0.699,0.153,0.456,-1.54491211293409
5,20,0.1,3,1,0.115137229248786,1357.31054433954,2.06325631125924,0.237,0.699,0.154,0.456,-1.56932287466016
5,20,0.35,7,2,0.0396937822696902,1208.08373955821,1.97707311628029,0.155,0.714,0.141,0.48,-1.58760934238043
2,40,0.4,6,2,0.0584971538518652,718.724190021834,2.50929737829603,0.15,0.714,0.111,0.48,-1.61149637447665
2,20,0.5,9,3,0.0374377545421393,606.772230632784,2.57979128349397,0.131,0.714,0.102,0.48,-1.61720276227562
2,20,0.6,9,3,0.0391513581209624,609.761270431626,2.58280357280804,0.134,0.714,0.103,0.48,-1.61964093563826
2,50,0.25,5,2,0.0771520507196179,511.82854104877,2.21953259728668,0.181,0.714,0.135,0.48,-1.62920978195661
2,30,0.2,4,1,0.0855414542883818,636.183345852339,2.51274092116917,0.182,0.714,0.122,0.48,-1.63192347053592
2,30,0.25,4,1,0.0843709281111216,648.783018566441,2.52825844771624,0.182,0.714,0.122,0.48,-1.63401576573218
2,20,0.45,7,3,0.0302304228605172,659.759991984833,2.61463188693272,0.142,0.714,0.102,0.48,-1.63624476623351
2,30,0.35,6,2,0.0455362411990709,608.130474793665,2.76430348974163,0.146,0.714,0.11,0.48,-1.65048758403541
2,20,0.3,5,2,0.0613772622773493,737.964860615071,2.56606219735011,0.173,0.714,0.127,0.48,-1.65233071442691
2,20,0.25,5,2,0.062998933361943,733.909047828692,2.56572014671127,0.174,0.714,0.128,0.48,-1.65287762891775
2,20,0.2,4,2,0.0911177357998777,591.120760335281,2.10371542968201,0.213,0.714,0.157,0.48,-1.65369776915156
2,30,0.5,7,2,0.042142438416016,620.836053929942,2.90622211971058,0.14,0.714,0.106,0.48,-1.65743797085855
2,30,0.3,6,2,0.0361617352386812,558.965509258686,2.71031231734277,0.147,0.714,0.112,0.48,-1.65992122103266
2,30,0.6,9,2,0.0338244196320238,587.600373975437,2.83288959061527,0.137,0.714,0.109,0.48,-1.66008452073073
2,50,0.6,9,4,0.0454488368598291,474.742850623671,2.67284902936643,0.148,0.714,0.121,0.48,-1.66109892354563
2,20,0.35,5,2,0.0612013395894449,735.134193529468,2.59537536720208,0.175,0.714,0.132,0.48,-1.66257948745429
2,40,0.25,5,2,0.0589370281451145,641.146043115808,2.50592100589196,0.178,0.714,0.134,0.48,-1.66559777028829
2,20,0.4,6,3,0.0605762770206412,637.559964466669,2.58233172839734,0.179,0.714,0.128,0.48,-1.66677889759576
